kinhdo,vido
105.77185,10.01799
105.75423,9.98261
105.5646,10.06797
105.5646,10.06797
105.66926,10.10615
105.79199,10.01234
105.75738,10.03592
105.73303,10.06401
105.73849,10.08298
105.79398,10.02456
105.77625,10.02921
105.75738,10.03592
105.81018,9.99304
105.74036,9.97519
105.75868,10.03694
105.77854,10.03102
105.77955,10.0401
105.76477,10.01174
105.77592,10.0365
105.78701,10.00823
105.73303,10.06401
105.73303,10.06401
105.79059,10.0095
105.75423,9.98261
105.80621,9.99728
105.73303,10.06401
105.74354,10.07937
105.82416,9.97808
105.82151,9.98092
105.78997,10.02132
105.73353,10.06568
105.92394,20.64963
105.79368,10.00829
105.82151,9.98092
105.82416,9.97808
105.92394,20.64963
105.75811,10.03698
105.80621,9.99728
105.7862,10.04456
105.73303,10.06401
105.74203,9.98509
105.7875682,10.0489283
105.78675,10.02241
105.82151,9.98092
105.30693,10.13885
