ID,Title,Price,Area,Bedrooms,Floors,Direction,Address,Images,Phone,Description
501ade9e-51e0-4e0a-bcc5-676e021568bd,CỰC HIẾM BÁN 2 CĂN NHÀ 1 TRỆT 1 LẦU SỔ HỒNG KHU BIỆT THỰ HƯNG LỢI TP CẦN THƠ 2.95 TỶ/CĂN CHÍNH CHỦ,2.95 tỷ,,2 (phòng),2 (tầng),Tây-Nam,"Dự án Khu biệt thự Hưng Lợi, Đường 30/4, Phường Hưng Lợi, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/12/10/kjmcXRDV/20201210135042-91bc_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",907532678,"Cực hiếm bán 2 căn nhà 1 trệt 1 lầu sổ hồng khu biệt thự Hưng Lợi TP Cần Thơ 2.95 tỷ/Căn chính chủ.

Ngay trung tâm thành phố Cần Thơ, 5 phút tới Vincom Xuân Khánh.

Lợi ích & khác biệt.

- Sổ hồng cầm tay (đừng mua chưa sổ hồng nhe).
- 3 phút tới trường Lương Thế Vinh, 3 phút tới Chợ.
- Mua xong đảm bảo tăng 20%/năm, cho thuê ngay 100 triệu/năm.
- Ngân hàng hỗ trợ 70%, lãi suất 7,7%/năm.

Gọi ngay trước khi tôi bán xong 0907.532.***.

Vị trí: Trục chính khu biệt thự Hưng Lợi, cách đường 30/4 100m, Phường Hưng Lợi, Quận Ninh Kiều.

Diện tích:
Căn 1: 4.37 x 9.52m = 40.5m2. DTSD 81m2.
Căn 2: 4.2 x 9.84m = 40.3m2. DTSD 80.6m2.

- Lộ nhựa 6m.
- Pháp lý: Sổ hồng hoàn công.
- Hướng Tây Nam.
- Nhà trệt lầu gồm khách, bếp, 2 phòng ngủ, 3 WC.
- Nội thất cao cấp, gạch sàn cao cấp Đồng Tâm, thiết bị vệ sinh Inax, hệ thống cửa nhôm Xingfa. Tặng màn cửa 2 lớp, tranh trang trí, cây trong nhà.

Khu vực an ninh, dân trí cao, khu này rất hiếm có nhà dưới 3 tỷ.

Gọi ngay trước khi tôi bán xong 0907.532.***."
77905a46-525e-4948-8084-9cdb6e273839,"Bán gấp nhà 1 trệt 1 lầu KDC Hoàng Quân Cần Thơ, giá 1,46 tỷ. Liên hệ: 0904909*** An",1.46 tỷ,70 m²,,2 (tầng),,"Phường Thường Thạnh, Cái Răng, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/12/08/64INI5U6/20201208083014-f25f_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",904909063,"Nhà rẻ nhất KDC Hoàng Quân Cần Thơ. Giá 1,46 tỷ.
Nhà mới 100%. Nhà 1 trệt 1 lầu. Diện tích: 4,5m x 15,5m.
Kết cấu nhà: Móng băng, gạch 60x60, cầu thang gỗ, đá granite.
Giá 1 tỷ 460 triệu. Vị trí đẹp.

Hàng ngộp!
Bán gấp nhà 1 trệt 1 lầu. KDC Hoàng Quân Cần Thơ. Giảm thêm 50 triệu chỉ còn: 1 tỷ 700.
Diện tích: 4,5x15,5m.
Sổ hồng hoàn công.
Lộ giới 12m.
Giá: 1,7 tỷ.
Liên hệ: 0904909*** An.
Cảm ơn KH đã xem tin."
d9ebf1b9-8b19-43c9-b3e1-d078af219401,"Bán nhà ngay chợ Thới Lai, TT. Thới Lai, Cần Thơ, giá chỉ 2,9 tỷ/căn",2.9 tỷ,80 m²,,,,"Đường Tỉnh lộ 922, Thị trấn Thới Lai, Thới Lai, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/11/28/20201128202209-2b1a_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",938020890,"Công ty cổ phần Đầu tư xây dựng và Du lịch Mekong thông báo mở bán đợt 1 nhà phố thương mại thuộc dự án dự án mở rộng, phát triển đô thị mới và nâng cấp chợ Thới Lai hiện hữu:
Thông tin về nhà giao dịch:
+ Số lượng mở bán đợt 1: 132 căn.
+ Đặc điểm nhà: Nhà phố thương mại cấu trúc nhà liên kế gồm 1 trệt, 1 lửng, 2 lầu; được xây thô, đã hoàn thiện mặt ngoài.
+ Mục đích sử dụng: Kinh doanh thương mại kết hợp nhà ở, phù hợp đầu tư kinh doanh lâu dài.
Thông tin về dự án:
+ Vị trí: Thị trấn Thới Lai, huyện Thới Lai, thành phố Cần Thơ. Là trung tâm kinh tế văn hóa của Thị trấn Thới Lai, tiếp giáp nhiều khu vực tiện ích và kinh doanh sôi động.
+ Diện tích: 17.728 m2.
+ Quy hoạch mục đích sử dụng: Khu vực kinh doanh thương mại kết hợp ở nhằm phục vụ cho việc di dời các hộ tiểu thương đang kinh doanh buôn bán dọc theo tuyến đường 922 cũng như phát triển khu vực đô thị thị trấn Thới Lai.
+ Hạ tầng kỹ thuật dự án: Vỉa hè lát gạch, đường giao thông láng nhựa, lưới điện trung thế, hạ thế ngầm, hệ thống cấp, thoát nước hiện đại đáp ứng tiêu chuẩn đô thị mới.
+ Hồ sơ pháp lý: Pháp lý hoàn thiện. Đã có Giấy chứng nhận Quyền sử dụng đất, dự kiến bàn giao nhà vào tháng 12/2020.

Giá chỉ từ 2,9 tỷ/căn.
Liên hệ: 0938.020.*** - Mr. Tuấn."
7a360397-cd73-4dc6-ae09-7b2a77a44849,"Chỉ 30 căn nhà phố mặt tiền chợ, KDC đông đúc, tiện kinh doanh mọi ngành nghề. LH: 0931990***",2.9 tỷ,100 m²,6 (phòng),4 (tầng),,"Thị trấn Thới Lai, Thới Lai, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/12/05/20201205143647-b337_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",931990969,"Nhà phố mặt tiền lồng chợ mới Thới Lai.

30 căn mặt tiền chợ suất nội bộ chủ đầu tư Mekong.

Vị trí: Thị trấn Thới Lai, Huyện Thới Lai, TP. Cần Thơ.

Shophouse: 1 trệt 3 lầu, theo phong cách hiện đại Châu Âu.

Diện tích đa dạng: 5x17m, 5x20m.

Pháp lý: Sổ hồng đầy đủ, thổ cư 100%.

Giao thông kết nối hoàn hảo thuận tiện đi lại với nhiều khu vực, nhà mặt tiền ngay chợ Thới Lai, hứa hẹn nhiều cơ hội đầu tư mua bán, thích hợp kinh doanh đa ngành.

Gọi ngay: 0931 990 *** đi tham quan dự án! (zalo, viber) 24/7."
e01b6552-e4ca-4807-b562-078225ffddac,"Bán gấp biệt thự quận Ô Môn - TP. Cần Thơ, nội thất đẹp, đồ gỗ sang trọng. LH: 0932031***",69 tỷ,3703 m²,6 (phòng),3 (tầng),,"Phường Phước Thới, Ô Môn, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2017/11/28/FpeEZA5u/20171128132226-ce7b.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",932031111,"Bán biệt thự khu vực Bình Phước, phường Phước Thới, Quận ô Môn, TP. Cần Thơ.
Biệt thự với 3703m2. Trong đó đất ở 420m2, 1 tầng hầm, 1 trệt, 2 lầu với 6 phòng ngủ. Đất sản xuất kinh doanh 2126,5m2. Đất trồng cây lâu năm 1156,5m2.
Biệt thự đẹp sổ hồng chính chủ.
Đặc biệt để lại toàn bộ nội thất và đồ gỗ sang trọng cho người mua.
Bán giá: 69 tỷ.

Liên hệ xem nhà:
0932031*** gặp anh Nhân.
Mail: trithienhotel@gmail.com"
97b82067-c3ad-4655-b7ba-0735457b355d,Bán biệt thự đẹp KDT Nam Cần Thơ - 0946797***,5.7 tỷ,79.8 m²,5 (phòng),3 (tầng),Đông-Nam,"Đường Số 10, Phường Hưng Thạnh, Cái Răng, Cần Thơ",['https://staticfile.batdongsan.com.vn/images/no-image.png'],946797511,"Bán Biệt thự đẹp tại đường số 10, phường Hưng Thạnh, quận Cái Răng, thành phố Cần Thơ.

Vị trí: Cách bệnh viện Hoàn Mỹ khoảng 300m, siêu thị BigC khoảng 600m. Khu vực đông đúc dân cư, ra lộ Võ Nguyên Giáp (Quốc lộ 91C) chỉ tầm 50m.

Diện tích đất: 5.7 x 14 = 79.8m2.
Diện tích xây dựng: 60m2.
Nhà cấp 3.


Mọi chi tiết vui lòng liên hệ: 0946797*** (Nhẫn).

Cám ơn đã xem tin!"
ab64bd4d-6c41-4b3b-bc8f-0ff6505b28df,"Bán nhà mặt tiền đường Lê Lai, 1 trệt 3 lầu, giá đầu tư",Thỏa thuận,104.4 m²,6 (phòng),4 (tầng),Tây-Bắc,"Đường Lê Lai, Phường An Phú, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/05/29/20200529200027-9695_wm.jpeg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",913616165,"Nhà mới tuyệt đẹp tại trung tâm TP. Cần Thơ - Mặt tiền đường Lê Lai, chỉ 30m là ra công viên Lưu Hữu Phước.
- Cần kiếm mặt bằng rộng và đường lớn hơn nên bán em nhà siêu phẩm này.
- Diện tích: 4m x 26,1m = 104,4m2.
- Hướng: Tây Bắc.
- Lộ giới: 12m.
- Pháp lý: Thổ cư 100% - Giấy hồng hoàn công.
- Kết cấu nhà: 1 trệt 3 lầu.
- Nội thất nhà đẹp: Gỗ căm xe cho toàn bộ cầu thang, chọn tỉ mỹ từng vật liệu và sử dụng toàn chất liệu tốt, đẹp và cao cấp nhất. Nhà mới cất hơn 1 năm.
- Ưu điểm: Thích hợp làm VP, cty, sàn giao dịch,... Khu vực làm dịch vụ cực hot.
- Giá: Thỏa thuận.
- Tặng toàn bộ nội thất hệ thống nước nóng lạnh và tủ bếp hiện đại, bàn ghế sofa cao cấp cho nhà!
Liên hệ: 0913.616*** gặp Thảo Nguyên."
112ddf0c-a329-4721-b15d-bce899da0f5f,Bán biệt thự mặt tiền đường Lê Bình trung tâm quận Cái Răng,22 tỷ,895 m²,6 (phòng),2 (tầng),Tây-Nam,"Đường Lê Bình, Phường Lê Bình, Cái Răng, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/10/15/20201015150334-7252_wm.jpeg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",913616165,"Bán biệt thự đường Lê Bình, Lê Bình, Cái Răng, Cần Thơ.
- Diện tích: 13,6x 65= 895m2.
- Pháp lý: 453 ODT còn lại CLN.
- Nhà 1 trệt lầu hoàn công 511m2.
- Hướng: Tây Nam.
- Lộ giới: 17m.
- Giá bán: 22 tỷ.
- Liên hệ: 0913.616*** gặp Thảo Nguyên.
- Chuyên mua bán ký gửi đầu tư BĐS hỗ trợ thẩm định giá vay vốn ngân hàng."
1dbe0513-45b6-4ded-9463-397f939f9864,"Bán nhà mặt tiền đường đường Châu Văn Liêm, 1 trệt, 3 lầu",18 tỷ,70 m²,5 (phòng),3 (tầng),Đông-Bắc,"Đường Châu Văn Liêm, Phường Tân An, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/10/02/20201002151056-d37d_wm.jpeg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",913616165,"* Chỉ có một căn duy nhất trên con đường kinh doanh cực đẹp.
Bán nhà mặt tiền đường Châu Văn Liêm, P. Tân An, Ninh Kiều.
- Nhà 1 trệt 3 Lầu có thang máy.
- Tổng diện tích sử dụng 300m2.
- Pháp lý thổ cư hoàn công.
- Hướng: Đông Bắc.
- Lộ giới: 40m.
- Vị trí đẹp kinh doanh đắc địa gần đường Hai Bà Trưng bến Ninh Kiều.
- Nhà đang cho thuê.
- Giá bán 18 tỷ.
- Liên hệ: 0913.616*** gặp Thảo Nguyên.
- Chuyên mua bán ký gửi đầu tư BĐS hỗ vay vốn ngân hàng."
bf85ef4c-3aab-4c5f-b9cc-69beb93e5c8f,"Bán nhà mặt phố bến Ninh Kiều, mặt tiền đường Lý Thường Kiệt",12.5 tỷ,72 m²,3 (phòng),2 (tầng),Tây-Bắc,"Phố Lý Thường Kiệt, Phường Tân An, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/11/02/20201102090153-8573.jpeg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",913616165,"Bán nhà mặt tiền đường Lý Thường Kiệt, Tân An, Ninh Kiều, TP Cần Thơ.
- Diện tích: 4x18 = 72m2.
- Pháp lý: ODT.
- Hướng: Tây Bắc.
- Lộ giới: 12m.
- Vị trí: Cách bến Ninh Kiều 50m nhà 1 trệt lửng 140m2 đang cho thuê.
- Giá bán: 12,5 tỷ.
- Liên hệ: 0913.616*** gặp Thảo Nguyên.
- Chuyên môi giới mua bán ký gửi nhà phố trung tâm.
- Dịch vụ pháp lý hỗ trợ thẩm định giá vay vốn ngân hàng."
