ID,Title,Price,Area,Bedrooms,Floors,Direction,Address,Images,Phone,Description
1696f835-8b9e-46c8-95c5-49afb19cc22a,NHÀ THỔ CƯ HOÀN CÔNG 75M2 SIÊU RẺ NHẤT KHU VỰC AN KHÁNH,2.1 tỷ,75.2 m²,2 (phòng),,Đông-Nam,"Hẻm 9, Đường Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ","['https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",829755799,"Bán nhà thổ cư đã hoàn công hẻm 9 đường Trần Nam Phú.
Diện tích: 75,2m2 ODT.
2 phòng ngủ 1 phòng khách 1 bếp 1 toilet.
Nhà mới 90%.
Lộ 4m.
Khu vực nhà rất đông.
Cặp bệnh viện đa khoa trung ương. Vị trí trung tâm đắc địa.
Thông ra Nguyễn Văn Cừ được. Nguyễn Văn Linh cũng được. Ra Bờ Hồ Xáng Thổi được luôn.
Giá: 2,1 tỷ.
Chính chủ: 0829.755.***."
09cc823a-b7d0-4927-be99-62517b89e4fa,BÁN NHÀ MỚI 100% HẺM 4 NHẬT TẢO CÁI RĂNG,2.65 tỷ,88 m²,3 (phòng),2 (tầng),Tây-Nam,"Hẻm 4, Đường Nhật Tảo, Phường Lê Bình, Cái Răng, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/11/24/20201124072556-a8ee_wm.jpeg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",939692611,"Chủ gửi bán nhà hẻm 4 Phong Mập Nhật Tảo giá 2 tỷ 650 triệu (nhanh lẹ có giá tốt).
---------------
- Diện tích: 5 x 17,5 = 88m2.
- Pháp lý: Sổ hồng hoàn công 120m2.
- Hướng: Tây Nam.
- Lộ: 4 mét (xe ô tô vào thoải mái).
- Kết cấu: 1 phòng khách, 3 phòng ngủ, 1 nhà bếp, 3 phòng ngủ, 2 toilet, Ban công, 1 sân phơi, 1 sân trước rộng đậu ô tô thoải mái.
* Tiện ích: Cách trường THPT Lê Bình 2 khoảng 150m, cách trường THCS Lê Bình 500m, cách khu nhà ở An Phú khoảng 550m, gần siêu thị Vinmart, Bách Hóa Xanh, sát bên Ủy Ban Quận Cái Răng, Ngân hàng, Chợ nổi Cái Răng,..."
de2338c9-bd3f-49b1-bcc0-e38f04d2a587,"CHỈ 30 CĂN NHÀ PHỐ MẶT TIỀN CHỢ, KDC ĐÔNG ĐÚC, TIỆN KINH DOANH MỌI NGÀNH NGHỀ. LH: 0931990***",2.9 tỷ,100 m²,6 (phòng),4 (tầng),,"Thới Lai, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/12/05/20201205143647-b337_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",931990969,"NHÀ PHỐ MẶT TIỀN LỒNG CHỢ MỚI THỚI LAI

30 CĂN MẶT TIỀN CHỢ SUẤT NỘI BỘ CHỦ ĐẦU TƯ MEKONG

Vị trí: Thị trấn Thới Lai, Huyện Thới Lai, TP. Cần Thơ.

Shophouse: 1 trệt 3 lầu, theo phong cách hiện đại Châu Âu

Diện tích đa dạng: 5X17m, 5x20m

Pháp lý: Sổ hồng đầy đủ, thổ cư 100%.

Giao thông kết nối hoàn hảo thuận tiện đi lại với nhiều khu vực, nhà mặt tiền ngay chợ Thới Lai, hứa hẹn nhiều cơ hội đầu tư mua bán, thích hợp kinh doanh đa ngành.

Gọi ngay: 0931 990 *** đi tham quan dự án! (zalo, viber) 24/7"
360e28d8-360c-4555-8f70-fbbd641dc890,"Bán gấp biệt thự quận Ô Môn - TP. Cần Thơ, nội thất đẹp, đồ gỗ sang trọng. LH: 0932031111",69 tỷ,3703 m²,6 (phòng),3 (tầng),,"Phường Phước Thới, Ô Môn, Cần Thơ","['https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",932031111,"Bán biệt thự khu vực Bình Phước, phường Phước Thới, Quận ô Môn, TP. Cần Thơ.
Biệt thự với 3703m2. Trong đó đất ở 420m2, 1 tầng hầm, 1 trệt, 2 lầu với 6 phòng ngủ. Đất sản xuất kinh doanh 2126,5m2. Đất trồng cây lâu năm 1156,5m2.
Biệt thự đẹp sổ hồng chính chủ.
Đặc biệt để lại toàn bộ nội thất và đồ gỗ sang trọng cho người mua.
Bán giá: 69 tỷ.

Liên hệ xem nhà:
0932031*** gặp anh Nhân.
Mail: trithienhotel@gmail.com"
d255c089-ea3f-4b84-8037-296adb8098ee,Bán Biệt thự đẹp KDT Nam Cần Thơ - 0946797***,5.7 tỷ,79.8 m²,5 (phòng),3 (tầng),Đông-Nam,"Đường 10, Phường Hưng Thạnh, Cái Răng, Cần Thơ",['https://staticfile.batdongsan.com.vn/images/no-image.png'],946797511,"Bán Biệt thự đẹp tại đường số 10, phường Hưng Thạnh, quận Cái Răng, thành phố Cần Thơ.

Vị trí: Cách Bệnh viện Hoàn Mỹ khoảng 300m, siêu thị BigC khoảng 600m. Khu vực đông đúc dân cư, ra lộ Võ Nguyên Giáp (Quốc lộ 91C) chỉ tầm 50m.

Diện tích đất: 5.7 x 14 = 79.8 m2.
Diện tích xây dựng: 60 m2.
Nhà cấp 3.

https://youtu.be/ZLOZ1kUk-Pc
https://youtu.be/SC69L2eWWm4

Mọi chi tiết vui lòng liên hệ: 0946797*** (Nhẫn).

Cám ơn đã xem tin!"
ca6ed620-2e8c-4643-a419-96f4e9dd7c0c,"Bán nhà ngay chợ Thới Lai, TT. Thới Lai, Cần Thơ, giá chỉ 2,9 tỷ/căn",2.9 tỷ,80 m²,,,,"Đường Tỉnh lộ 922, Thị trấn Thới Lai, Thới Lai, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/11/28/20201128202209-2b1a_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",938020890,"Công ty cổ phần Đầu tư xây dựng và Du lịch Mekong thông báo mở bán đợt 1 nhà phố thương mại thuộc dự án dự án mở rộng, phát triển đô thị mới và nâng cấp chợ Thới Lai hiện hữu:
Thông tin về nhà giao dịch:
+ Số lượng mở bán đợt 1: 132 căn.
+ Đặc điểm nhà: Nhà phố thương mại cấu trúc nhà liên kế gồm 1 trệt, 1 lửng, 2 lầu; được xây thô, đã hoàn thiện mặt ngoài.
+ Mục đích sử dụng: Kinh doanh thương mại kết hợp nhà ở, phù hợp đầu tư kinh doanh lâu dài.
Thông tin về dự án:
+ Vị trí: Thị trấn Thới Lai, huyện Thới Lai, thành phố Cần Thơ. Là trung tâm kinh tế văn hóa của Thị trấn Thới Lai, tiếp giáp nhiều khu vực tiện ích và kinh doanh sôi động.
+ Diện tích: 17.728 m2.
+ Quy hoạch mục đích sử dụng: Khu vực kinh doanh thương mại kết hợp ở nhằm phục vụ cho việc di dời các hộ tiểu thương đang kinh doanh buôn bán dọc theo tuyến đường 922 cũng như phát triển khu vực đô thị thị trấn Thới Lai.
+ Hạ tầng kỹ thuật dự án: Vỉa hè lát gạch, đường giao thông láng nhựa, lưới điện trung thế, hạ thế ngầm, hệ thống cấp, thoát nước hiện đại đáp ứng tiêu chuẩn đô thị mới.
+ Hồ sơ pháp lý: Pháp lý hoàn thiện. Đã có Giấy chứng nhận Quyền sử dụng đất, dự kiến bàn giao nhà vào tháng 12/2020.

Giá chỉ từ 2,9 tỷ/căn.
Liên hệ: 0938.020.*** - Mr. Tuấn."
c35a7507-cef7-4c7a-a1be-08d7f63bc312,"Bán nhà mới 2 mặt tiền hẻm 28 & 16b đường Mậu Thân, An Hòa, Ninh Kiều",2.75 tỷ,79.3 m²,2 (phòng),1 (tầng),Đông-Nam,"Hẻm 16b, Đường Mậu Thân, Phường An Hòa, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/05/25/20200525152230-b7ac_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",939818383,"Kẹt tiền giảm ngay 50tr bán nhà trệt kiểu biệt thự mini 2 mặt tiền hẻm 16b và 28 Mậu Thân - giá 2,8 tỷ (giá mới 2.75 tỷ tl).
- Vị trí: Trục chính hẻm 16B & 18 Mậu Thân, cách siêu thị Lotte 150m, vị trí trung tâm thuận tiện lại, đường sá cao ráo, sạch sẽ, nhà cửa sang trọng, khu dân trí cao, an ninh rất tốt nên rất thuận tiện cho việc cư trú, công tác, học tập, lấy hộ khẩu học trường điểm.
- Diện tích: 4,12 x 19m (nở hậu 4,46) = 79,3m2.
- Pháp lý: Thổ cư.
- Lộ giới 3,5m ô tô tới nhà.
- Hướng: Đông Nam - Tây Bắc.
- Nhà gồm: 2 phòng ngủ, 1 phòng khách, bếp, toilet, có sân riêng để xe.
- Giá: 2 tỷ 750tr (tl).
- Liên hệ xem nhà: 0939 81 8*** gặp Tâm."
67b7e75c-386b-4e75-b66d-07bd81114ed5,Bán biệt thự siêu đẹp sang trọng trung tâm TP. Cần Thơ,19 tỷ,175 m²,4 (phòng),2 (tầng),,"Đường Trần Hoàng Na, Ninh Kiều, Cần Thơ",['https://file4.batdongsan.com.vn/resize/745x510/2020/12/05/20201205143245-eb40_wm.jpg'],944612244,"Bán Biệt Thự Cao Cấp , hẻm nhánh đường Trần Hoàng Na, phường Hưng Lợi, quận Ninh Kiều , tp Cần Thơ
- DT: 10.5 x 16 = 175m2
- Pháp lí: Thổ cư hoàn công
- Hướng: Đông Nam Đông Bắc
- Lộ Giới: 7 mét
- Vị Trí: nằm cách Trần Hoàng Na chỉ 35m, nhà xây dựng phong cách Châu Âu, nội thất Đẳng Cấp, có hồ bơi trong nhà, gara, phòng gym, xông hơi, phòng karaoke , phòng làm việc, sân thượng, thang máy ..v.v.. thích hợp mở văn phòng công ty, ở định cư lâu dài"
e19a6769-e806-4a42-b9f2-b7e16c8faeaa,"Bán dãy nhà trọ hẻm trần bình trọng , hẻm 4m , 301m2",9.95 tỷ,301 m²,,,,"Đường Trần Bình Trọng, Ninh Kiều, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/12/05/20201205142829-dc24_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",932919230,"bán 1 Căn Nhà Mini + 14 Phòng Trọ hiện đang cho thuê full phòng.

Vị Trí: Đường Trần Bình Trọng ( hẻm thời trang), Quận Ninh Kiều, TP. Cần Thơ. Từ đầu hẻm thấy nhà trọ ngay
Hẻm cao ráo nâng cấp 4,5 m

Diện Tích: 4,9m 50m tổng 301,6m2

Pháp Lý: Sổ Hồng.thổ cư 100%

Tiện ích xung quanh: vì toạ lạc ngay trung tâm thành phố Cần Thơ nên đi đâu cũng gần, cái gì cũng có, thu nhập đều đều hàng tháng trên 20 triệu.( giá thuê từ 1,3 triệu - 1,6 triệu / phòng / tháng )

Giá : 9,950 tỷ
Liên hệ tú 0909563*** 0932919***"
372d54ed-92d5-42d2-9ff6-cc25c38549c4,"Nhà mặt chợ Thới Lai, XD sẵn, tiện KD mọi ngành nghề, KDC đông đúc. LH: 0931990***",3.5 tỷ,250 m²,,,,"Thị trấn Thới Lai, Thới Lai, Cần Thơ","['https://file4.batdongsan.com.vn/resize/745x510/2020/11/27/20201127095240-36d6_wm.jpg', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png', 'https://staticfile.batdongsan.com.vn/images/icons/lazy-preview-image.png']",931990969,"Nhà phố mặt tiền lồng chợ:

Vị trí: Thị trấn Thới Lai, Huyện Thới Lai, TP. Cần Thơ.

Shophouse: 1 trệt 3 lầu.

Diện tích đa dạng: 4.5x18, 4x19, 4x20, 5x18, 5x20, 5x22m.

Pháp lý: Sổ hồng đầy đủ, thổ cư 100%.

Giao thông kết nối hoàn hảo thuận tiện đi lại với nhiều khu vực, nhà mặt tiền ngay chợ Thới Lai, hứa hẹn nhiều cơ hội đầu tư mua bán, thích hợp kinh doanh đa ngành.

Gọi ngay: 0931 990 *** đi tham quan dự án!"
