ID,Title,Price,Area,Bedrooms,Floors,Direction,Address,Images,Phone,Description
40110914-054c-47d7-8229-704a11a36f82,Bán đất nền dự án fenixcity view quốc lộ sông hậu giá chỉ từ 240tr,240 Triệu/m²,80 m²,NaN,NaN,NaN,"91C, Tân Phú, Cái Răng, Cần Thơ",[],0707260783,"- Giá F0 từ CĐT: Từ 680- 800 triệu. ( ngân hàng hỗ trợ vay 70% )
- Pháp lý rõ ràng: Sổ hồng riêng từng nền
- Tiện ích đẳng cấp 5 sao:
+ Khu checkin chill nhất
+ Khu trung tâm thương mại
+ Trường học
+ Chợ
+ Khu vui chơi thể thao
+ Sở hữu 2 cầu cảng du thuyền - thuyền CaZac ........…
FenixCity hiện là viên ngọc sáng nhất phía Nam Cần Thơ, khi sở hữu 2 mặt tiền đắt giá bậc nhất là View mt đường 80m2 và View mặt tiền sông Hậu.
- Đặc điểm xung quanh: Chợ Cái Côn, Chợ Nổi Trà Ôn, Cảng Lee&man, KCN Sông Hậu, KCN Hưng Phú, Nhiệt Điện Sông Hậu 1.....KDC Tân Phú...
- Liên kết vùng : Fenix City nằm ngay khu vực VÀNG tiếp giáp trực tiếp với 3 tỉnh Cần Thơ, Sóc Trăng, Vĩnh Long và dễ dàng giao thương về các tỉnh lân cận ở miền Tây sông nước.
Liên hệ để biết thêm thông tin"
15ef0403-2a08-46b5-a71d-e98ab3f444ed,"Phố đi bộ ambi-nơi giao hưởng màu sắc mới , hiện đại , phong cách ,kênh đầu tư thông minh giá rẻ lh;0945571063",36 Triệu/m²,110 m²,3 (phòng),5 (tầng),NaN,"đường Lê Hồng Phong, P. Bình Thủy, Q. Bình Thủy, Tp. Cần Thơ",[],0945571063,"Mở bán giỏ hàng phân khu The Ambi Đại Lộ Ánh Sáng – dự án Stella Mega City Cần Thơ.
Booking dãy Shophouse mặt tiền lộ giới 25m phố đi bộ sầm uất lớn nhất Cần Thơ.
- Gần sân tập Golf đẳng cấp và hồ ánh sáng huyền ảo.
- Diện tích 110m2 (5x22).
- Diện tích sàn 332,92 m2.
- Xây dựng 1 trệt 3 lầu , theo phong cách Địa Trung Hải .
- Thời gian nhận booking từ 1/12 – 13/12 sẽ được chiết khấu 2% trừ vào giá bán.
- TT nhanh 60% được hưởng CK 4%, TT nhanh 97% CK 6%
- Được hỗ trợ thanh toán trả chậm 2 năm không lãi suất, mỗi tháng thanh toán 1-2% như đóng tiền gửi ngân hàng.
-Ngân hàng hỗ trợ vay tối đa 70%, được CĐT hỗ trợ lãi suất & ân hạn nợ gốc 12 tháng đầu tiên.
HOTLINE: 0945571063 Ms.Loan để được hỗ trợ trực tiếp và đưa đón đi xem thực tế dự án miễn phí về ngay trong ngày ạ ."
79eafbb0-3b76-4dc2-8c22-c29c9744b904,Với vị trí vô cùng tốt đây là cơ hội vàng cho làng đầu tư bất động sản,"2,2 Tỷ",110 m²,NaN,NaN,NaN,"Võ Văn Kiệt, Bình Thủy, Bình Thủy, Cần Thơ",['http://cdn.batdongsan.vn/FileManager/Upload/1272020/z220876313063258588e109a136398d450c605929045b0.jpg'],0337339338,"CƠ HỘI VÀNG CHO LÀNG ĐẦU TƯ BẤT ĐỘNG SẢN
- Cơ hội cho đầu tư sinh lời hấp dẫn trong giai đoạn đầu tư của dự án, khả năng sinh lời khoảng 15-30% sau 3-4 tháng đầu tư.
- vị trí vàng để đầu tư con đường huyết mạch nối liền 2 đại lộ Võ Văn Kiệt và Lê Hồng Phong tiếp giáp kdc đông đúc KCN Trà Nóc,
- Pháp lý rõ ràng minh bạch cam kết nhận sổ công chứng sang tên ngay.
- Khu đô thị duy nhất của Cần Thơ, có tiềm năng du lịch ( đền thờ vua hùng, sân bay Cần Thơ, Cồn Sơn)
- Tiện ích 5 sao, trung tâm hội nghị, sân Golt, công viên cá Koi, Đường Ánh Sáng, Hồ Ánh Sáng.
- Di chuyển thuận lợi đi các tỉnh An giang, long xuyên, kiên giang... Thổ cư 100% Sổ đỏ chính chủ Giá chỉ 23tr/m2 LG: 14m Hướng: Tây bắc"
a1a433a5-2685-4483-b01a-c6b91ff1eb15,Bán gấp nền sổ đỏ giá 1tỷ9/ nền khu dân cư ngân thuận ngay trung tâm. lh: 0942621063,"2,323 Tỷ",110 m²,NaN,NaN,NaN,CẦN THƠ,['http://cdn.batdongsan.vn/FileManager/Upload/1242020/e382a254fb7e0a20536f-Copy-2.jpg'],0942621063,"Giữa Cần Thơ mơ màng trong giấc mộng, lộ diện một tâm điểm sôi động sầm uất, xứng danh ""di sản"" truyền đời.Đó chính là - phân khu hiện đại bậc nhất đại đô thị Stella Mega City.- Giá chỉ từ 2 tỷ/lô.- Diện tích: 5mx22m.Tích hợp đa dạng các hình thức giải trí, ngắm cảnh, mua sắm của một đô thị hoàn chỉnh, The AMBI không chỉ đáp ứng mọi nhu cầu sống mà còn mang đến những trải nghiệm khác biệt với chuỗi công trình nghệ thuật đặc sắc:- Cổng Ánh Sáng.- Đại Lộ Ánh Sáng.- Hồ Ánh Sáng.- Vườn Ánh Sáng.Và còn nhiều giá trị tiện nghi khác được thừa hưởng từ Đại đô thị ngôi sao. Với tất cả hạng mục được đầu tư cao cấp, chỉn chu và độc đáo, The AMBI - Stella Mega City chính là điểm đến không thể bỏ lỡ, đem đến cuộc sống đẳng cấp bậc nhất tại Cần Thơ.
Liên hệ: 0942621063 (Ms. Băng)"
e3326fd6-3519-436f-aa8b-a742e3042f14,"Bán gấp cặp nền đẹp gần sân golf dự án stella mega city, thanh toán 1%/ tháng. lh: 0912691477","2,323 Tỷ",110 m²,NaN,NaN,NaN,CẦN THƠ,[],0912691477,"- Nằm tại khu sân golf khu The Ambi Block 52 Stella Mega City, trung tâm hành chính quận Bình Thuỷ.- Xung quanh khu hành chính nhà nước như kho bạc, UBND, chi cục thuế, khách sạn 5 sao, công viên,...- Có trường học cấp 1, 2, 3, trường mẫu giáo, chợ,... (đã có).Lộ giới 14m vỉa hè cây xanh, điện nước, có sẵn dân cư hiện hữu, đối diện là quân đội rất an ninh.- Diện tích: 112.5m2 ngang (4.5mx25m).- Ngân hàng hỗ trợ vay 70%.- Đặt biệt: Sổ đỏ sẵn công chứng ngay.- Mua lời ngay, giá đang tốt đầu tư sinh lời cao.
Liên hệ: 0912691477 (Mr. Lương)"
67a38396-391e-4c7f-97e3-65fcf1f0f7fd,Nhà biệt thự mini đường số 2 kdc nam long 2 cái răng cần thơ,"5,19 Tỷ",79 m²,4 (phòng),2 (tầng),Tây-Nam,"Hưng Thạnh, Cái Răng, Cần Thơ",['http://cdn.batdongsan.vn/FileManager/Upload/1242020/6-Copy-8.jpg'],0939739197,"🌼🌼 BÁN NHÀ KIỂU BIỆT THỰ MINI ĐƯỜNG SỐ 2 KDC NAM LONG 2 ⭐⭐
- Vị trí: 30m bên phải là công viên, hồ cảnh quan, bên trái là KDC cao tầng Nam Long.
- Diện tích: 5,7 x 14= 79,8m2
- Pháp lý: Sổ hồng hoàn công
- Hướng: tây nam
- lộ giới: 9m xe tăng quay đầu
- kết cấu: 1 trệt 2 lầu, phong khách, 4 phòng ngủ, 5 phòng WC; Sân đậu xe, Khu Bếp, Sân sau, ban công thoáng mát.
💰Giá bán: 5 tỷ 190 triệu
☎️Lh: 0939517868 Huỳnh Tốt"
0dd5fa1c-d6a7-4820-ae54-df5a35eb556e,Chính chủ cần bán gấp cặp nền 200 m2 đường trương vĩnh nguyên,2 Tỷ,200 m²,NaN,NaN,NaN,"Đường Trương Vĩnh Nguyên, Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",[],0939586093,"CHÍNH CHỦ CẦN BÁN GẤP CẶP NỀN 200 M2 ĐƯỜNG TRƯƠNG VĨNH NGUYÊN
_ Đường nhánh lộ nhựa 6m , đường trương Vĩnh nguyên , phường thường thạnh, quận cái răng , tp cần thơ.
_ Đất là nơi tiềm năng sinh lời về sau.
_ Diện tích: 4 x 25m ( 2 nền liền kề) tổng dt:200m2
+ Vị trí nền đẹp khu dân cư an ninh , đèn đường led năng lượng mặt trời.
+ Các tiện ích xung quanh:Cách khu dân cư Hoàng quân 300m , cách đường ql 1 A 1,2km , cách bến xe cần thơ 2km.
_ Giao thông thuận tiện đi lại cac tỉnh lân cận
_ An ninh tốt 24/24
_ Hướng : tây Bắc
_ Giấy tờ pháp lý: Đã có sổ
Diện tích :200 m2 (25 x 8 )
Giá bán:2 tỷ- 200 m2
Địa chỉ: Đường Trương Vĩnh Nguyên, Phường Thường Thạnh, Quận Cái Răng, Cần Thơ
Nhấn để hiện số: 0939586093"
ae2471b6-13cc-4c24-a31c-63a35f86e68d,"Bán lô đất nền 2 mặt tiền, view sông hậu..........................................",240 Triệu/m²,80 m²,NaN,NaN,NaN,"91C, Hưng Phú, Cái Răng, Cần Thơ",['http://cdn.batdongsan.vn/FileManager/Upload/1242020/0c55b124813f7061292e.jpg'],0932198583,"Mở bán 10 nền đất suất ưu đãi
- Giai đoạn F0 ngày 28/11/2020
- Chủ Đầu Tư Gia Bình Group. Siêu Dự Án View Sông Hậu
- Mặt Tiền đường Nam Sông Hậu 80m.
- Tên Dự Án : Khu Độ Thị Ánh Sáng FENIX CITY ( Trung Tâm Thị Trấn Mái Dầm - Hậu Giang ).
- Quy mô siêu khủng: Với mặt tiền dự án gần 1km mặt tiền đường nhựa 80m và 1 mặt tiền sông Hậu.
- Diện tích đa dạng: 5x16, 5x18, 5x20...6,5x20, 10x20.."
0077b2f8-40ad-448b-871a-ababab85451b,Bán nên đẹp trong khu đô thị sầm uất stella mega city thanh toán 1%/ tháng. lh: 0912691477,"2,4 Tỷ",111 m²,NaN,NaN,NaN,Bình Thuỷ Cần Thơ,[],0912691477,"Bán nền sổ đỏ ngay phố đi bộ đẹp nhất Cần Thơ.
- Diện tích: 111m2 (5x22,2).
- Hướng Đông Bắc.
- Lộ giới 14m.
- Pháp lí sổ đỏ.
- Giá: 2 tỷ6/nền
* Thanh toán nhẹ, mỗi tháng thanh toán 1-2% không tính lãi suất. Được ngân hàng hỗ trợ vay tối đa 70% không tính lãi 12 tháng đầu và không cần trả nợ gốc.
* Nằm trong khu đô thị kiểu mẫu của Tp. Cần Thơ. Có Cơ quan hành chính quận, trường học, bệnh viện, công viên, khách sạn, TTTM, siêu thị, KDL đền thờ vua Hùng,…
* Gần sân bay quốc tế Cần Thơ, tiềm năng sinh lời cao khi tuyến cao tốc Sài Gòn – Cần Thơ sắp về. Giá trị đất tăng phi mã khi đất ở trung tâm có sổ đỏ rõ ràng và cao tốc sắp về.
HOTTLINE/ ZALO: 0912691477 (Mr. Lương) để được hỗ trợ trực tiếp!"
f32e2942-fc2b-4bfc-88e6-c928944ae218,Bán shophouse khu phố đi bộ lớn nhất cần thơ thanh toán 2%/ tháng. lh: 0912691477,36 Triệu/m²,110 m²,3 (phòng),5 (tầng),NaN,"đường Lê Hồng Phong, P. Bình Thủy, Q. Bình Thủy, Tp. Cần Thơ",['http://cdn.batdongsan.vn/FileManager/Upload/1232020/e5ab7d6fd65c27027e4d.jpg'],0912691477,"Chính thức mở bán giỏ hàng phân khu Đại Lộ Ánh Sáng – dự án Stella Mega City Cần Thơ.
Booking dãy Shophouse mặt tiền lộ giới 25m phố đi bộ lớn nhất Cần Thơ.
- Gần sân tập Golf đẳng cấp và hồ ánh sáng huyền ảo.
- Diện tích 110m2 (5x22).
- Diện tích sàn 332,92 m2.
- Xây dựng 1 trệt 4 lầu.
- Thời gian nhận booking từ 1/12 – 13/12 sẽ được chiết khấu 2% vào giá bán.
- Được hỗ trợ thanh toán trả chậm 2 năm không lãi suất, mỗi tháng thanh toán 1-2% như đóng tiền gửi ngân hàng.
-Ngân hàng hỗ trợ vay tối đa 70%, được CĐT hỗ trợ lãi suất & ân hạn nợ gốc 12 tháng đầu tiên.
HOTLINE: 0912691477 (Mr. Lương) để được hỗ trợ trực tiếp!"
